id;nominativo;nome;cognome;codice_fiscale;e_mail
1;mobile Fish;Home Loan Account Table Computer;Trace;ipctmi58w25f499z;3EEt7W0y@3w8HPrgS51`AVokPq1saSPyutu`l2`k.q`LrJr
2;red Chips Soap;Home Loan Account;web-readiness;yehmyi97c42b918w;0BP`PsB2QYqx^\zYSkJc22sOKZ43w25v\73MLt4TgYftngR3q9pw@Gs`dawUZrTCpz9aqFQT4OUupHsXo_5mf3CGMgLlFZRzECTnhVuyuEvPa.an.AP
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;ygbxss65f41l487x;V`_dt0BqsGXaNfwdHUe7dL]_CJNs9ebRP3XX--m83zlZjepscQuI@U8hXV[bThH8.wIpy9Q2^kCog8.EbM.dCWyRf
4;infomediaries;Investment Account;Games Regional Digitized;xwndtg73d25i672w;w@cE^5M-r5]NVOeo6gADq6RGjgr89b[_J-W\3[n03SaA4ClLUb\l1Ve8EFs4AfRpmj.IN
5;Industrial;connect Markets Chief;capacitor archive;kflfgq29g34v884v;p-a4gW2\.uB]4pl7to2p7jQmVrGha\sjjR23Y1BszycwUHlNBVy8b9x2G0+-DHUgbA^f7flu.TBd9@FLjS`\tIvwk^7UxML90aYz\LIEZXc5_HuE_KxQEQnU.ux]i[YZ6f.JJDoT
6;compelling mission-critical;bifurcated scalable;Small;oihcld51q06y079v;FBdu5^G^4dU90Q9FmX794W^8R@Y_Md.ZN
7;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;skbdhg41m20b501e;B.yiuT@WzO.WHXN
8;Frozen bus;hard drive Robust Networked;Poland;mjffgc32g13l809e;fge.N0tKO+5orFL5EHqfgw.XNCPwhnP29EgLKS2GZ8HqBa6EuFakM@T.A8t^lO0Z0R4`N2TRJWIzrQ3nyIcesoApqW26As.WuGka
9;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;ahizqo96j49f037f;3DoS5Lyihd4@q2ST^CZJynR1JH5Z.EPf]nxUvnr9^FY-y]VDIPV6q_8LkalI.OzjIf
10;maroon;EXE projection Fresh;support Gorgeous;orxtbb24a06s796u;y9DYc^A-57_QlsTaAzxaXkt1kvIng@Le4E0]\lBkgNyE^4lwqOh-isid00eJJ2B]c^C2.aN
